Product Name,Purpose,RAM,SSD,Operating System,Price,Product Rating
HP 15-fc0020ci Ryzen 5 7520U / 16ГБ / 512SSD / 15.6 / DOS / (7P4F8EA),For study,16.0,512.0,DOS,269 990 ₸,
Ультрабук Asus ProArt P16 OLED Copilot+ PC/ Ryzen 9 HX 370 / 64ГБ / 2000SSD / RTX4070 8ГБ / 16 / Win11Pro / (H7606WI-ME117X),Both,64.0,2000.0,Win11,1 679 990 ₸,
Apple MacBook Space Black M3 Max / 48ГБ / 1000SSD / 16.2 / Mac OS Sonoma / (MUW63RU/A),For study,48.0,1000.0,MacOS,2 554 990 ₸,
Ультрабук HP ENVY x360 16-ac0007ci U5 125U/16ГБ/512SSD/16/ Win11/(A1UX4EA),Both,16.0,512.0,Win11,624 990 ₸,
Lenovo Legion 7 16IRX9 Ci7 14700HX / 32GB / SSD 1TB / RTX4070 8GB / DOS / 16 / (83FD0043RK),For game,,,DOS,1 159 990 ₸,
Ультрабук Asus Vivobook 15X OLED Ci5 1335U / 8GB / SSD 512GB / 15 / (K3504VA-MA568W),Both,,,Win11,359 990 ₸,
Asus TUF Gaming F16 i7 13650HX / 16ГБ / 1000SSD/ RTX4060 8ГБ / 16 / DOS / (FX607JV-N3145),For game,16.0,1000.0,DOS,727 990 ₸,5.0
HP 15-fd0118ci Ci5 1334U / 16GB / SSD 512GB / DOS / 15.6 / (A2LR2EA),For study,,,DOS,294 990 ₸,
HP 15-fd0117c / Ci5 1334U / 8GB / SSD 512GB / Win 11 / 15.6 / (AF6D1EA),For study,,,Win11,319 900 ₸,
Ультрабук Asus Vivobook S 14 OLED U5 125H / 16ГБ / 512SSD / 14 / Win11 / (S5406MA-QD060W),Both,16.0,512.0,Win11,489 990 ₸,
Huawei MateBook D16 i9 13900H / 16ГБ / 1000SSD / 16.1 / Win11 / (MitchellG-W9611),For study,16.0,1000.0,Win11,559 990 ₸,5.0
Ультрабук Lenovo IdeaPad Slim 5 14IMH9 U5 125H / 16ГБ / SSD512 / 14 / DOS / (83DA004LRK),Both,16.0,,DOS,379 990 ₸,
Asus TUF Gaming A17 Ryzen 7 7435HS / 16ГБ / 512SSD / RTX4050 6ГБ / 17.3 / DOS / (FA707NUR-HX020),For game,16.0,512.0,DOS,579 990 ₸,
Asus ExpertBook B1 i3 1215U / 8ГБ / 256SSD / 14 / DOS / (B1400CBA-EB0766),For study,8.0,256.0,DOS,219 990 ₸,5.0
Ультрабук Asus Vivobook S 15 OLED Copilot/ Snapdragon X Plus X1P42100 / 16GB / SSD512GB / Win 11 / 15.6 / (S5507QA-MA113W),Both,,,Win11,619 990 ₸,
Apple MacBook Air Space Grey 2024 M3 / 8ГБ / 512SSD / 13 / Mac OS Sonoma / (MRXP3RU/A),For study,8.0,512.0,MacOS,849 990 ₸,
Apple MacBook Air Silver M3 / 8ГБ / 512SSD / 15.3 / Mac OS Sonoma / (MRYQ3RU/A),For study,8.0,512.0,MacOS,979 990 ₸,
Asus ExpertBook i7 1355U / 16ГБ / 1000SSD / 14 / Win11 / (B3404CVA-Q50275W),For study,16.0,1000.0,Win11,489 990 ₸,
Asus ExpertBook B1 i3 1215U / 8ГБ / 256SSD / 15.6 / Win11 / (B1500CBA-BQ0558W),For study,8.0,256.0,Win11,259 990 ₸,
"Apple MacBook Air 15 Midnight 2024 M3 / 8ГБ / 512SSD / 15,3 / Mac OS Sonoma / (MRYV3RU/A)",For study,8.0,512.0,MacOS,979 990 ₸,
Ультрабук HP Spectre x360 14-eu0006ci U5 125H / 16ГБ / 1000SSD / 14 / Win11 / (9U023EA),Both,16.0,1000.0,Win11,829 990 ₸,
HP 15-fd0196ci i5 1334U / 16GB / 512SSD / Win11 / 15.6 / (AE0K1EA),For study,,512.0,Win11,359 900 ₸,
HP VICTUS 15-fa0065ci i5 12450H / 16ГБ / 512SSD / RTX3050 4ГБ / 15.6 / DOS / (809P6EA),For game,16.0,512.0,DOS,399 990 ₸,4.2
Asus TUF Gaming A15 Ryzen 5 7535HS / 16ГБ / 512SSD / RTX4050 6ГБ / 15.6 / DOS / (FA507NU-LP141),For game,16.0,512.0,DOS,489 990 ₸,5.0
HUAWEI MateBook D15 Ryzen 7 5700U/ 8ГБ / 512SSD / 15.6 / Win11 / (BohrM-WDP9A),For study,8.0,512.0,Win11,269 990 ₸,
HP 15s-eq2031ci Ryzen 5 5500U / 16ГБ / 512SSD / 15.6 / DOS / (AE0S8EA),For study,16.0,512.0,DOS,224 990 ₸,
Apple MacBook Air Silver M3 / 8ГБ / 256SSD / 15.3 / Mac OS Sonoma / (MRYP3RU/A),For study,8.0,256.0,MacOS,849 990 ₸,
Asus VivoBook 15 i5 1335U/ 16ГБ / 512SSD / 15.6 / DOS / (X1504VA-BQ399),For study,16.0,512.0,DOS,286 990 ₸,
HP 14-ep0011ci Ci3 1315U / 8GB / SSD 512GB / DOS / 14 / (7Y2A8EA),For study,,,DOS,229 990 ₸,
Asus Vivobook 15 i7 1355U / 16ГБ / 1000SSD / 15.6 / DOS / (X1504VA-BQ1222),For study,16.0,1000.0,DOS,345 990 ₸,
